"class","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"shape 1",-0.89822,0.43955,271.7646,0.82704,115.87925,-0.36245,0.932,609.91815,7.85398,7.85398,2.26106,4.27556,813.0
"shape 2",-0.44721,-0.89443,229.38178,0.83474,115.55085,-0.91735,0.39809,458.44851,7.85398,8.10489,3.13633,3.72266,515.0
"shape 3",0.0,1.0,457.83185,0.6553,102.14206,0.94966,0.31329,965.33335,-1.5708,8.5238,3.012,49.31641,812.0
"shape 4",-0.09054,0.99589,245.5952,0.8286,73.79024,0.44721,0.89443,528.20606,0.9273,7.64515,3.88991,8.64453,828.0
"shape 5",0.5145,-0.85749,518.82271,0.6142,244.62625,-0.44558,-0.89524,1184.49455,0.0,11.25094,4.40878,31.94141,1094.0
"shape 6",-0.39156,0.92015,505.88734,0.66208,249.16059,0.64216,0.76657,1122.25951,-2.81984,7.61973,3.3039,25.39063,1297.0
"shape 7",-0.24254,0.97014,255.00784,1.56295,255.0,0.0,1.0,255.31795,0.0,0.70795,0.16065,5.64063,359.0
"shape 8",0.89443,0.44721,246.34326,0.0528,246.34326,0.99861,0.05277,248.68897,-0.0,2.89467,1.44194,5.64453,438.0
