"class","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"k",0.0,1.0,168.96153,1.28274,166.86522,0.23971,0.97084,342.56023,0.7854,5.42595,1.76548,4.82031,844.0
"k",0.14142,0.98995,98.0867,1.16189,94.86833,0.31623,0.94868,244.56193,-0.32175,6.41709,3.78703,1.60156,657.0
"k",0.0,1.0,149.1878,1.30631,139.44174,0.14343,0.98966,305.41276,-1.10715,5.829,3.01075,6.88281,750.0
"k",0.0,1.0,145.52319,1.32082,134.08206,0.12679,0.99193,308.66443,-0.46365,6.87649,3.67089,6.10222,750.0
"k",0.70711,-0.70711,182.84967,1.01162,95.70789,0.89857,0.43884,578.3229,-7.06858,17.18106,8.05143,6.70703,1719.0
"k",0.94868,-0.31623,188.35339,0.88693,134.64769,0.88379,-0.46789,585.19258,4.71239,21.2784,11.08816,6.72444,2219.0
"k",0.0,1.0,117.61803,1.10335,100.30454,0.34894,0.93715,314.14113,0.0,8.11431,3.88759,1.89453,875.0
"k",0.8,-0.6,195.78049,0.70586,162.96319,0.91432,-0.405,507.60817,-0.32175,18.38492,10.43866,3.15625,1969.0
"k",-0.12403,0.99228,105.11898,1.12842,100.90094,0.33696,0.94152,232.78703,0.46365,7.54715,3.33122,2.69141,875.0
"k",0.0,1.0,98.35141,1.2394,92.22798,0.16264,0.98669,223.18852,0.7854,8.17465,4.22355,1.19531,1047.0
"k",0.19612,0.98058,106.04244,1.29379,103.07764,0.24254,0.97014,260.1431,1.10715,7.06955,3.65415,2.35111,860.0
"k",-0.14142,0.98995,91.38928,1.1659,84.40379,0.23696,0.97152,248.95947,-1.10715,6.09587,2.27919,1.13778,859.0
"k",0.0,1.0,103.44564,1.27656,102.35722,0.25401,0.9672,213.75185,-2.35619,10.76818,6.51947,0.76563,1016.0
"k",0.0,1.0,82.8734,1.22615,82.21922,0.31623,0.94868,197.47758,-1.5708,7.50127,4.67825,1.44531,844.0
"k",0.0,1.0,108.52189,1.2811,101.20277,0.2075,0.97823,245.86434,2.35619,7.29892,4.13319,1.72656,875.0
"l",0.8,-0.6,149.48579,1.19402,38.07887,0.86662,-0.49896,280.41251,1.5708,6.73788,4.33017,8.00889,469.0
"l",0.0,-1.0,130.24976,1.31464,14.14214,-0.14142,0.98995,251.66897,1.5708,3.80088,1.65347,3.41778,609.0
"l",0.70711,-0.70711,149.57607,1.25116,26.57066,0.94089,-0.33872,298.8247,3.14159,5.54576,2.46023,2.20703,1016.0
"l",0.70711,-0.70711,150.41609,1.19646,26.92582,0.92848,-0.37139,295.30627,3.92699,4.24368,2.13499,2.5,657.0
"l",0.44721,-0.89443,76.55064,1.22426,12.04159,0.74741,-0.66436,157.72589,1.5708,3.76811,1.74452,1.6,641.0
"l",0.44721,-0.89443,147.05441,1.2598,16.97056,0.70711,0.70711,285.2091,0.0,4.97173,1.84127,3.76563,562.0
"l",0.6247,-0.78087,103.12129,1.22451,33.42155,0.77794,-0.62834,183.92367,0.46365,6.29379,2.79859,2.32,1125.0
"l",0.70711,-0.70711,159.66527,1.09594,33.12099,0.87558,-0.48308,300.3965,3.14159,6.32381,3.44508,2.19531,953.0
"l",1.0,0.0,171.74691,1.2693,24.69818,0.85027,-0.52635,333.78056,4.71239,6.97834,5.40201,5.49778,719.0
"l",0.94868,-0.31623,154.92256,1.05806,87.81799,0.86543,-0.50104,345.00691,3.14159,22.04765,14.22539,1.73828,1875.0
"l",1.0,0.0,183.96195,1.06581,83.86298,0.98971,0.14309,377.21933,6.28319,6.5788,4.08752,8.28125,610.0
"l",0.70711,-0.70711,133.80957,1.27504,24.04163,0.95667,-0.29116,261.31547,3.14159,3.69005,2.38918,2.84444,531.0
"l",0.40614,-0.91381,195.7575,1.23774,65.73431,0.97362,-0.22819,395.4395,4.84792,9.28015,6.14857,6.43556,546.0
"l",0.44721,-0.89443,118.59595,1.26238,19.23538,0.46789,0.88379,226.53985,3.14159,6.91034,5.30077,2.08203,531.0
"l",0.70711,0.70711,91.41663,1.22483,14.42221,0.83205,0.5547,183.42224,3.14159,4.87862,2.64592,1.16406,641.0
"l",0.44721,-0.89443,138.00362,1.16876,36.06938,0.69311,0.72083,253.36758,1.5708,3.98619,1.48724,2.36328,594.0
"l",1.0,0.0,152.20053,1.15124,36.87818,0.75926,-0.65079,289.52961,5.17604,6.64745,3.59025,2.53906,594.0
"l",0.89443,-0.44721,133.13527,1.24192,30.41381,0.72336,-0.69048,249.72445,4.71239,7.89283,5.46314,2.20703,641.0
"l",0.97014,-0.24254,156.32018,1.28547,33.61547,0.38673,0.92219,288.59935,1.5708,5.48292,2.70287,2.63556,562.0
"l",0.6,-0.8,133.79462,1.22777,19.23538,0.88379,-0.46789,262.34417,3.92699,4.73134,2.72945,3.75556,531.0
"m",0.0,1.0,88.09086,0.68892,87.45856,0.77751,0.62887,249.56622,-6.28319,9.24477,5.07429,1.64444,906.0
"m",0.27472,0.96152,83.21658,0.57134,75.76939,0.92386,0.38274,201.77467,-6.74683,9.89016,4.59809,0.53125,953.0
"m",0.0,1.0,80.60397,0.65343,78.81624,0.81202,0.58364,189.47453,-4.71239,9.66075,4.78648,0.52,1000.0
"m",0.8,0.6,63.81222,0.56192,60.53924,0.85895,0.51206,162.31277,-5.49779,10.97781,4.69721,0.60444,906.0
"m",0.6,0.8,64.66065,0.55368,62.64982,0.8779,0.47885,138.20628,-6.74683,9.22567,4.43389,0.26563,1203.0
"m",0.70711,0.70711,71.86793,0.55712,68.88396,0.88555,0.46455,172.73174,-7.53223,14.70763,7.70806,0.22222,1109.0
"m",0.0,1.0,46.51881,0.44442,44.59821,0.94174,0.33634,112.62891,-7.85398,11.39037,8.49072,0.23111,1312.0
"m",0.19612,0.98058,89.30845,0.59421,88.20431,0.83896,0.54419,226.24528,-6.28319,9.80363,4.8156,0.48828,1031.0
"m",0.44721,0.89443,111.39569,0.70278,97.6166,0.87075,0.49172,277.71201,-7.06858,7.72403,3.63481,1.13281,812.0
"m",0.0,-1.0,229.863,0.80693,177.54436,0.89555,-0.44496,448.62139,-6.17645,6.36816,2.29873,10.41016,687.0
"m",0.24254,-0.97014,155.59563,0.59335,129.65338,0.99496,0.10027,329.7427,-5.81954,7.58822,2.45214,1.8,1016.0
"m",0.0,1.0,76.6942,0.69307,75.43209,0.78216,0.62308,207.95125,-6.28319,8.66896,5.91508,1.65625,984.0
"m",0.6,0.8,106.40019,0.64538,99.12618,0.85749,0.5145,271.77156,-7.06858,8.36927,3.25209,0.44444,938.0
"m",0.18429,0.98287,91.04944,0.89434,78.51751,0.72595,0.68774,269.94028,-4.95737,7.95028,4.53267,3.09766,890.0
"m",0.44721,0.89443,101.13852,0.76442,79.64923,0.87885,0.47709,297.18755,-4.71239,11.14336,5.8939,2.70313,1016.0
"m",0.0,1.0,87.04596,0.74477,70.26379,0.91085,0.41273,224.21819,-2.89661,10.07123,5.60116,0.53516,906.0
"m",0.12403,0.99228,128.03515,0.75778,105.81588,0.85998,0.51032,361.38994,-6.28319,8.69427,4.80432,3.07556,875.0
"m",0.0,1.0,111.83023,0.62025,102.7278,0.85663,0.51593,275.64827,-6.28319,7.64004,3.28376,0.87556,906.0
"m",0.0,1.0,113.81125,0.62944,107.44766,0.78178,0.62356,274.6675,-6.18352,7.88211,3.52184,1.04,750.0
"m",0.1644,0.98639,99.32271,0.56287,95.18929,0.85094,0.52527,241.37362,-6.28319,10.41981,5.96788,0.61328,1125.0
"n",0.89443,0.44721,52.3259,0.7854,52.3259,0.70711,0.70711,125.74678,-6.28319,9.53577,5.07889,0.19531,719.0
"n",0.0,1.0,72.11103,0.98279,57.28001,0.69832,0.71578,164.9107,-3.14159,4.10253,1.43888,0.50781,766.0
"n",0.15923,0.98724,79.32213,0.98279,72.8011,0.60439,0.79669,194.6655,-3.11639,3.59564,1.50012,1.02601,390.0
"n",0.02702,0.99963,79.75588,1.04543,79.75588,0.50153,0.86514,214.62158,-2.86329,5.14352,2.94554,1.4256,391.0
"n",0.0,1.0,80.5295,1.13492,78.39005,0.39546,0.91848,228.03025,-3.14159,4.00641,2.21447,1.07031,437.0
"n",0.05121,0.99869,86.83317,1.06593,86.83317,0.48369,0.87524,235.15844,-3.03539,4.52408,1.87347,1.58689,422.0
"n",0.0444,0.99901,105.11898,1.12842,105.11898,0.42809,0.90374,272.49843,-2.95903,4.77488,2.53706,1.98145,422.0
"n",0.04646,0.99892,111.82576,1.08715,102.9563,0.48564,0.87416,291.20067,-3.06023,5.53475,2.825,1.9282,484.0
"n",0.12033,0.99273,94.66784,1.02675,84.6286,0.579,0.81533,242.52273,-3.12689,3.99674,1.9993,1.14984,391.0
"n",0.0,-1.0,79.61156,1.00021,44.92215,0.95721,-0.28939,140.5718,-2.76109,3.94234,1.15278,1.0,563.0
"n",-0.70711,-0.70711,86.37129,0.73626,65.14599,0.95171,0.307,199.6374,-1.81577,11.73051,6.29356,0.625,1203.0
"n",0.0,1.0,65.8559,0.83911,53.82379,0.81748,0.57595,146.45898,-3.14159,5.67604,2.42474,0.55556,687.0
"n",-0.49614,0.86824,210.04047,0.80223,126.19429,0.99846,0.05547,560.66948,-3.24467,14.25864,7.85055,5.17778,1250.0
"n",-0.12403,0.99228,59.5483,0.85671,55.60576,0.61145,0.79128,136.84878,-3.14159,5.40455,1.8767,0.37778,578.0
"n",0.0,1.0,73.43024,1.05841,69.77822,0.42993,0.90286,192.33638,-2.89661,5.08963,2.23568,0.50781,532.0
"n",-0.10653,0.99431,76.02631,1.10715,68.42514,0.45305,0.89149,184.18119,-1.46592,5.5401,4.23873,0.77441,485.0
"n",0.17889,0.98387,86.60831,1.02444,77.42093,0.58124,0.81373,196.82256,-3.0866,5.34281,2.72971,1.15556,407.0
"n",0.04646,0.99892,79.25907,1.05635,79.25907,0.49206,0.87056,208.53998,-2.8786,3.51139,1.48669,0.83884,453.0
"n",0.11462,0.99341,94.37161,1.12137,94.37161,0.43445,0.90069,240.59044,-3.26595,4.38667,1.9364,0.7128,438.0
"n",0.12403,0.99228,95.29428,1.07899,95.29428,0.47222,0.88148,224.19433,-2.94094,4.64374,2.26513,1.30222,406.0
"o",-0.24783,0.9688,109.65856,0.75315,7.28011,0.96152,-0.27472,237.74894,5.13335,5.13335,2.0141,3.75781,250.0
"o",-0.91915,-0.39392,175.07141,0.89873,14.76482,-0.88047,0.4741,402.43848,7.38282,7.91532,2.47577,1.31641,563.0
"o",-0.46676,0.88438,167.40968,0.93805,53.85165,-0.25997,0.96562,420.74493,6.40821,6.40821,1.51673,3.84889,531.0
"o",-0.79361,0.60843,185.23499,0.90786,20.24846,-0.83957,0.54325,424.5552,5.58375,5.58375,1.36668,3.3125,438.0
"o",-0.35714,0.93405,172.80046,0.92498,44.92215,-0.28939,0.95721,424.81944,6.18752,6.18752,1.57096,4.55556,484.0
"o",0.04646,0.99892,158.93709,0.96883,17.02939,0.05872,0.99827,364.1751,6.05639,6.05639,1.66634,1.9282,453.0
"o",-0.35112,0.93633,202.00248,0.92234,49.39636,-0.3644,0.93124,493.90099,6.24096,6.24096,1.60278,4.70703,469.0
"o",-0.22651,0.97401,187.86431,0.85697,21.84033,0.27472,0.96152,426.21744,6.11377,6.11377,1.42528,2.13778,500.0
"o",-0.22651,0.97401,198.6001,0.9283,4.12311,-0.24254,0.97014,442.86797,5.832,5.832,1.49296,2.0281,437.0
"o",0.0,-1.0,128.68955,0.88999,8.94427,0.44721,-0.89443,293.07622,7.06858,10.89515,4.28339,1.77778,828.0
"o",-0.85749,-0.5145,125.17588,0.76845,50.92151,0.94263,-0.33385,295.88282,10.79818,13.98137,7.08084,0.70703,1015.0
"o",-0.97308,-0.23047,126.57409,0.79098,37.64306,-0.95635,-0.29222,314.48473,6.65752,6.65752,2.06072,1.58689,390.0
"o",0.0,-1.0,126.06348,0.72928,49.0408,0.93799,-0.34665,338.82269,11.50267,13.51081,6.2586,1.32813,906.0
"o",0.0294,0.99957,118.81077,0.94076,61.20457,0.08169,0.99666,314.75609,6.32163,6.32163,1.69186,1.20395,484.0
"o",-0.85749,0.5145,125.6702,0.96072,37.48333,-0.69364,0.72032,320.38974,6.73645,6.73645,2.1299,1.82222,453.0
"o",-0.45632,0.88982,141.24093,0.95137,59.03389,-0.62676,0.77921,352.52128,6.00489,6.00489,1.77687,2.91406,422.0
"o",-0.12403,0.99228,124.8439,0.86478,36.67424,-0.19087,0.98162,309.56615,6.13181,6.13181,1.58971,3.38281,453.0
"o",-0.99817,-0.0605,154.5089,0.96484,30.0,-1.0,0.0,370.38258,6.83516,6.83516,1.75645,1.26563,562.0
"o",-0.99673,-0.08082,178.36199,0.88467,17.08801,-0.93633,-0.35112,413.33226,6.4872,6.4872,1.58286,1.43392,562.0
"o",0.49026,0.87158,175.9318,0.86587,29.0,0.0,1.0,416.16583,5.70888,5.70888,1.41134,4.26953,500.0
"p",-0.10468,-0.99451,182.49658,1.22998,75.42546,-0.10606,-0.99436,325.51054,-4.49737,4.49737,1.54231,1.51925,375.0
"p",-0.05705,-0.99837,159.15401,1.17746,69.05071,0.17379,-0.98478,272.86996,-4.37399,4.38492,1.60414,2.63556,328.0
"p",-0.14142,-0.98995,169.06803,1.09128,78.05767,0.03843,-0.99926,300.30309,-4.74179,5.13658,1.6355,1.30073,375.0
"p",-0.21133,-0.97741,149.69636,1.2089,60.53098,0.13216,-0.99123,260.08201,-4.46741,4.46741,1.34868,1.49116,360.0
"p",-0.05121,-0.99869,152.77762,1.27182,70.34913,0.0995,-0.99504,258.3079,-4.54831,4.70299,1.48954,1.48926,438.0
"p",-0.07298,-0.99733,153.21227,1.20362,73.24616,-0.08192,-0.99664,270.64048,-4.81206,4.81206,1.57497,1.75858,375.0
"p",-0.08082,-0.99673,156.38734,1.1701,65.06919,-0.0461,-0.99894,290.54782,-4.68115,4.68115,1.39564,1.43392,375.0
"p",-0.06238,-0.99805,171.5634,1.2933,76.00658,-0.01316,-0.99991,297.75583,-4.79553,5.21291,1.66979,1.32444,500.0
"p",-0.12716,-0.99188,227.30816,1.17804,106.53169,-0.16896,-0.98562,395.62864,-4.57116,4.89043,1.22619,1.60874,500.0
"p",0.70711,-0.70711,155.24175,1.1879,55.22681,0.85104,-0.52511,496.00923,-6.28319,22.43899,13.86187,3.45313,1703.0
"p",1.0,0.0,110.63905,1.05053,31.32092,0.95783,-0.28735,311.48974,3.14159,17.40466,11.94879,1.91406,1516.0
"p",-0.11291,-0.99361,155.08062,1.28984,71.00704,0.01408,-0.9999,263.12151,-4.42254,4.61186,1.3882,2.04058,391.0
"p",0.0,-1.0,148.03378,1.11621,88.60023,0.34989,-0.93679,236.69709,-4.71239,6.89864,2.86051,1.93778,703.0
"p",-0.13392,-0.99099,146.53668,1.20803,56.29387,-0.21317,-0.97702,263.92428,-4.68431,4.80629,1.56952,1.45057,438.0
"p",-0.02856,-0.99959,152.73834,1.25112,77.27872,0.18116,-0.98345,251.83791,-4.28872,4.47004,1.60055,1.19727,375.0
"p",-0.307,-0.95171,163.27278,1.21418,72.02777,0.02777,-0.99961,283.28226,-4.8404,4.87548,1.67979,1.41406,344.0
"p",0.0,-1.0,139.61733,1.14239,51.35173,-0.11684,-0.99315,262.43156,-4.60381,4.71939,1.57487,2.17778,343.0
"p",-0.12033,-0.99273,126.08727,1.18882,58.13777,-0.0688,-0.99763,227.39135,-4.69485,4.89418,1.38083,1.14984,422.0
"p",-0.20165,-0.97946,122.80065,1.29026,63.00794,0.01587,-0.99987,201.82518,-4.74179,4.74179,1.50197,1.2539,406.0
"p",0.02702,-0.99963,136.92699,1.25136,63.0,0.0,-1.0,233.06176,-4.3166,4.39064,1.69423,1.4256,343.0
"q",-0.95144,-0.30782,187.77114,1.1715,127.06298,0.03148,0.9995,451.07044,4.85429,7.51354,3.04921,2.15556,625.0
"q",0.24254,-0.97014,156.66844,1.06432,67.44627,0.26688,0.96373,391.67215,5.49779,9.99769,3.57018,2.65625,1250.0
"q",-0.53,-0.848,115.12167,1.00207,57.87055,0.1728,0.98496,266.03375,5.17604,15.3762,8.27763,1.14453,1719.0
"q",-0.70711,-0.70711,184.74036,0.96628,79.32213,0.5547,0.83205,465.03691,7.85398,12.29615,6.0319,3.22222,1218.0
"q",0.0,-1.0,172.53985,1.17199,109.17875,0.14655,0.9892,380.84083,5.49779,9.9128,3.39618,2.43556,1140.0
"q",-0.70711,-0.70711,137.78607,1.19164,100.02,-0.02,0.9998,299.21701,4.90978,9.33838,3.9558,4.25391,1110.0
"q",-0.70711,-0.70711,143.17821,1.07591,93.30059,0.33226,0.94319,305.34909,4.71239,10.08275,5.82548,3.0625,1171.0
"q",-0.94868,-0.31623,145.43727,1.02094,95.90099,0.19812,0.98018,339.54056,4.3394,8.29606,3.37333,2.47656,1062.0
"q",-0.44721,-0.89443,123.06502,1.1435,84.0119,0.15474,0.98796,271.77809,7.39033,11.85401,6.27851,1.72266,1078.0
"q",-0.44721,-0.89443,194.42736,1.19698,31.40064,0.79616,0.60508,519.73532,11.13747,18.05548,10.64863,6.4,1313.0
"q",-0.44721,-0.89443,168.15469,1.10183,44.59821,0.73994,0.67267,460.84658,4.24874,13.26319,5.84279,2.28516,1328.0
"q",-0.90618,0.42289,167.29614,1.08576,107.83784,0.32456,0.94586,389.95748,3.70795,7.60918,2.49873,1.44444,687.0
"q",0.0,-1.0,248.04032,1.00963,117.4436,0.62157,-0.78335,627.32059,8.78128,13.19197,5.53175,4.25781,1828.0
"q",-0.98639,-0.1644,149.40214,1.1281,81.00617,-0.01234,0.99992,366.42089,5.91944,8.43815,4.2302,1.38606,656.0
"q",-0.82748,0.5615,140.89003,1.12302,96.16652,0.29116,0.95667,311.77362,3.69014,10.34233,4.79002,1.19147,688.0
"q",-1.0,0.0,151.21177,1.13377,98.0051,0.14285,0.98974,352.94352,7.26598,9.50119,4.85706,1.44531,859.0
"q",-0.99887,-0.04757,161.91356,1.12372,93.53609,0.10691,0.99427,423.38956,5.88053,7.41511,2.78152,1.30222,781.0
"q",-0.88379,0.46789,119.43618,1.12962,77.02597,0.02597,0.99966,287.74641,3.42399,10.09341,5.22538,1.54006,781.0
"q",0.0,-1.0,136.16534,1.16301,89.08984,-0.0449,0.99899,291.37973,7.06858,14.85674,7.95147,1.64444,1406.0
"q",0.0,-1.0,138.92444,1.04272,80.65358,0.33477,0.9423,321.08247,5.17604,13.1427,8.03046,1.64453,1250.0
"r",0.14142,0.98995,93.49332,1.00653,52.49762,0.95242,-0.30478,164.86298,-1.5708,3.46319,1.40137,1.62222,531.0
"r",0.0,1.0,76.05919,1.07775,37.64306,0.95635,-0.29222,142.73179,-1.10715,2.26949,0.85221,0.53778,641.0
"r",0.28735,0.95783,72.94518,0.9904,40.0125,0.99969,0.02499,141.19241,-1.9513,3.16283,1.33023,1.01778,688.0
"r",0.31623,0.94868,73.82412,1.07685,35.22783,0.99353,-0.11355,142.04101,-2.35619,4.63324,3.08317,3.92889,610.0
"r",0.19612,0.98058,82.36504,1.0637,41.76123,0.95783,-0.28735,156.58256,-2.03444,4.28621,1.2194,0.55556,578.0
"r",0.89443,0.44721,89.35883,1.01694,47.38143,0.99195,-0.12663,167.52303,-3.14159,6.04103,3.10242,1.64444,578.0
"r",0.37139,0.92848,81.12336,1.04095,41.7732,0.98149,-0.19151,157.53746,-1.89255,3.24135,1.03306,0.88281,563.0
"r",0.0,1.0,72.94518,1.07036,33.0,1.0,0.0,149.51557,-1.5708,3.41143,1.41522,1.32031,547.0
"r",0.24254,0.97014,74.79305,1.05331,35.51056,0.98562,-0.16896,140.66644,-3.03094,3.93084,1.87548,0.78125,484.0
"r",0.0,1.0,90.60353,0.91847,38.83298,0.97855,0.20601,187.33934,-4.24874,9.50998,5.47747,1.28125,641.0
"r",0.0,1.0,85.95929,1.06031,47.50789,0.86301,-0.50518,143.68498,-1.5708,3.14159,1.06775,1.09766,484.0
"r",0.44721,0.89443,72.06941,1.0637,35.0571,0.99837,-0.05705,148.08214,-3.14159,5.54117,2.16731,0.76563,547.0
"r",-0.31623,-0.94868,55.07268,1.05841,54.58938,0.47628,-0.87929,61.83925,-2.35619,2.57751,1.52232,0.66016,234.0
"r",0.14834,0.98894,100.16986,1.01326,53.75872,0.98589,0.16741,193.43903,-1.73595,3.23897,0.72599,1.44444,625.0
"r",0.09054,0.99589,82.1523,1.01994,47.85394,0.89857,0.43884,145.08301,-1.5708,3.42539,0.91167,1.0,766.0
"r",0.19612,0.98058,101.789,0.98824,56.61272,0.95385,-0.30029,179.80128,-2.81984,4.31974,1.63804,1.35556,563.0
"r",0.0,1.0,82.29216,1.11802,36.87818,0.97619,0.21693,162.32,-1.5708,1.97305,0.65457,1.60444,579.0
"r",0.03569,0.99936,92.30926,1.17017,37.69615,0.92848,0.37139,177.29454,-0.1419,5.81761,2.66354,0.87111,719.0
"r",0.0,1.0,116.76472,1.08034,46.87217,0.98139,-0.19201,223.86513,-2.67795,6.53008,1.8909,1.5625,640.0
"r",0.44721,0.89443,74.68601,1.11314,36.24914,0.91037,0.4138,140.9264,-1.5708,9.60828,5.71221,0.87891,844.0
"s",-0.44721,-0.89443,67.41662,1.00748,52.40229,-0.66791,0.74424,123.86453,-1.5708,13.38864,8.56829,0.25391,765.0
"s",-0.92555,-0.37863,120.35365,1.07742,112.50778,-0.50663,0.86216,209.33049,0.60554,5.6719,2.13538,0.75111,438.0
"s",-0.97926,-0.20261,132.09845,1.05635,125.19585,-0.51919,0.85466,213.39102,0.65649,5.15326,2.50403,0.85645,438.0
"s",-1.0,0.0,104.6518,1.1157,101.51847,-0.44327,0.89639,185.0317,0.09967,5.51804,2.02402,0.75858,422.0
"s",-0.99805,0.06238,140.45996,1.02427,132.01894,-0.55295,0.83321,235.20677,-0.15742,5.04493,1.54865,1.06972,422.0
"s",-0.97823,-0.2075,154.76757,0.97383,149.0302,-0.58377,0.81192,259.69328,0.54129,5.80073,1.74776,1.18418,516.0
"s",-0.95578,-0.29409,125.67418,1.11782,114.54257,-0.41906,0.90796,204.66545,0.36398,6.34102,1.97603,0.77003,562.0
"s",-0.932,-0.36245,121.82775,0.94864,102.21546,-0.50873,0.86093,234.48088,0.43241,6.48929,2.40488,0.8,484.0
"s",-0.99957,0.0294,126.76356,1.05067,118.59595,-0.41317,0.91066,227.19339,0.03998,5.30897,1.97817,1.20395,390.0
"s",0.44721,-0.89443,187.21645,0.97539,138.5388,-0.6352,0.77235,356.39042,-0.54042,11.38677,5.52705,3.55078,719.0
"s",-0.89443,-0.44721,150.20652,0.93662,116.38728,-0.76469,0.6444,251.94539,-1.10715,9.90728,3.33852,2.19531,797.0
"s",-0.97014,-0.24254,117.00427,1.24905,104.75209,-0.35321,0.93554,171.03241,-1.10715,8.0554,4.37084,1.16406,594.0
"s",-1.0,0.0,116.03879,0.90144,116.03879,-0.62048,0.78422,196.51444,0.11066,6.29361,2.55141,0.98222,468.0
"s",-0.99451,0.10468,106.83164,0.8185,98.4124,-0.74178,0.67065,180.42864,-0.49812,5.32289,2.13413,1.42578,360.0
"s",-0.99228,0.12403,94.17537,0.83798,94.17537,-0.66896,0.74329,160.10715,0.16184,5.15107,2.35595,1.08221,344.0
"s",-0.98443,0.17579,93.53609,1.06889,93.53609,-0.4811,0.87667,151.08185,-0.12435,4.76935,1.77004,0.84183,313.0
"s",-0.4138,-0.91037,107.61505,0.91057,84.02381,-0.78549,0.61887,195.33024,1.29985,5.85869,2.44022,1.35556,421.0
"s",-0.79361,-0.60843,124.03629,1.05665,100.43904,-0.57746,0.81642,243.36439,0.7854,5.86401,2.47047,1.48699,406.0
"s",-0.96849,0.24904,127.09445,1.01553,115.76269,-0.5183,0.8552,221.5214,-0.45501,5.14629,2.18971,1.359,360.0
"s",-0.8,-0.6,148.66069,0.83298,141.42136,-0.70711,0.70711,254.86489,0.90975,5.96073,2.00468,1.00391,516.0
"t",0.0,1.0,128.12884,1.04778,63.50591,-0.4409,0.89755,240.94648,4.93919,5.09213,3.03501,2.29865,359.0
"t",0.0,1.0,144.05902,1.07921,79.30952,-0.39087,0.92044,258.01129,3.14159,9.14761,5.87808,1.77778,828.0
"t",-0.14142,0.98995,135.35139,0.9746,74.33034,-0.67267,0.73994,253.11332,2.35619,6.71656,3.21028,3.53125,875.0
"t",0.0,1.0,125.39936,1.16067,54.42426,-0.34911,0.93708,237.21689,1.5708,7.44798,3.65912,2.67578,641.0
"t",0.0,1.0,139.43099,1.03653,54.40588,-0.58817,0.80874,277.06854,1.5708,4.23953,1.66998,1.5625,672.0
"t",-0.15206,0.98837,136.01471,1.2723,68.68042,-0.27664,0.96097,232.99952,1.76819,7.43918,3.6796,2.65625,750.0
"t",0.0,1.0,143.75674,1.05424,70.71068,-0.48083,0.87681,271.78018,-1.5708,4.21559,2.57194,1.78516,656.0
"t",-0.27472,0.96152,112.37882,1.05938,61.7171,-0.64812,0.76154,203.63175,3.46334,4.84992,2.0461,1.44531,578.0
"t",-0.14142,0.98995,124.34227,1.02072,74.88658,-0.56085,0.82792,226.73775,4.95737,6.69326,3.58015,1.13778,578.0
"t",-0.5145,0.85749,110.46266,1.1112,49.92995,-0.54076,0.84118,205.80759,3.78509,7.15419,3.1499,2.81778,657.0
"t",-0.44721,0.89443,230.55585,0.767,123.66487,-0.86524,0.50135,458.324,3.68201,7.26747,3.59294,4.47266,860.0
"t",-0.03123,0.99951,140.00357,1.08798,84.21995,-0.49869,0.86678,239.86816,3.08735,3.70334,1.4492,1.73828,407.0
"t",0.0,1.0,214.75568,1.01121,116.77757,-0.6765,0.73644,400.90282,3.14159,5.95437,3.89455,3.0625,578.0
"t",0.0,1.0,95.52487,1.03217,46.64762,-0.5145,0.85749,186.6613,3.26595,5.12996,2.14426,0.58203,594.0
"t",-0.14142,0.98995,123.06502,1.1435,76.53757,-0.48342,0.87539,211.15156,4.46741,5.43868,2.26626,1.16406,562.0
"t",-0.14142,0.98995,105.11898,1.08588,60.74537,-0.34571,0.93834,192.50574,3.14159,5.44638,3.36686,1.42578,672.0
"t",-0.14142,0.98995,153.56106,1.06054,65.19202,-0.53688,0.84366,301.22989,1.67388,4.68555,2.08226,2.07031,578.0
"t",-0.37139,0.92848,161.96605,1.13753,73.82412,-0.41992,0.90756,305.54809,2.35619,5.48934,2.09728,2.45703,656.0
"t",-0.11043,0.99388,161.44968,1.11546,63.60031,-0.59748,0.80188,301.79148,1.44644,3.84715,1.32287,3.28516,625.0
"t",-0.5547,0.83205,160.7047,1.22149,77.20104,-0.28497,0.95854,290.01422,2.35619,4.90155,1.86532,1.72266,687.0
"u",0.0,1.0,83.52844,1.016,42.04759,0.99887,-0.04757,161.23323,3.92699,4.1757,1.79426,1.28125,547.0
"u",0.0,1.0,60.0,0.9273,36.87818,0.97619,0.21693,103.71783,3.14159,4.08472,1.52575,0.16444,656.0
"u",0.27472,0.96152,64.44377,0.84029,43.93177,0.97879,-0.20486,104.77421,2.67795,7.2522,3.67339,0.42578,531.0
"u",-0.14142,0.98995,84.0595,1.00589,43.73786,0.98313,0.18291,154.92335,3.14159,5.14012,2.33743,1.48,453.0
"u",0.0,1.0,77.15569,0.73956,57.42822,0.99254,0.12189,126.91778,3.14159,3.93575,1.51538,0.44141,516.0
"u",0.37139,0.92848,61.22091,0.90116,38.63936,0.98345,0.18116,110.76693,2.35619,4.90306,2.50137,0.47266,469.0
"u",0.0,1.0,70.72482,0.8054,50.69517,0.96656,0.25643,114.52119,3.14159,4.07336,1.29232,0.52,672.0
"u",0.1644,0.98639,84.40379,0.93677,51.66237,0.96782,0.25163,143.40289,3.14159,4.17061,1.2904,0.82813,672.0
"u",0.0,1.0,79.24645,0.7497,58.00862,0.99985,0.01724,139.36308,3.14159,4.10157,1.35555,0.55556,547.0
