"class","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"c",-0.83205,-0.5547,96.82975,0.90251,54.14795,0.07387,0.99727,174.90684,4.39064,5.03414,1.78811,2.53906,390.0
"c",-0.89443,-0.44721,108.16654,0.98279,78.64477,-0.20345,0.97909,170.41889,4.51499,6.2092,2.64742,1.45703,407.0
"c",-0.94868,-0.31623,108.00463,0.93655,78.64477,-0.20345,0.97909,168.60145,3.14159,6.00591,2.53736,1.31556,438.0
"c",-0.27472,0.96152,140.47064,1.08168,96.17692,0.15596,0.98776,279.65748,6.74683,8.05229,3.22457,1.56889,735.0
"c",0.0,1.0,117.99153,1.02747,70.06426,-0.04282,0.99908,233.36168,6.28319,10.9056,4.93572,0.80078,782.0
"c",-0.92848,-0.37139,67.47592,0.87985,47.53946,-0.25242,0.96762,108.29457,3.46334,3.96845,1.58594,0.64063,312.0
"c",-0.19612,0.98058,91.24144,1.09244,55.22681,0.09054,0.99589,181.89749,6.28319,9.1677,3.83795,0.66222,781.0
"c",-0.70711,-0.70711,65.45991,0.97008,49.81967,-0.18065,0.98355,106.70937,3.14159,4.06889,1.81225,0.39453,375.0
"c",-0.8,-0.6,114.62111,0.94649,76.32169,-0.09172,0.99579,192.10762,3.14159,5.95109,2.36841,1.26953,437.0
"c",-1.0,0.0,94.36631,0.70288,64.41273,-0.46575,0.88492,149.58306,3.14159,4.17988,1.19958,1.0,437.0
"c",-0.86824,-0.49614,97.08244,0.851,63.69458,-0.3768,0.9263,155.26044,4.06889,4.56631,1.83725,1.03556,422.0
"c",0.0,-1.0,75.00667,0.82312,34.43835,0.43556,0.90016,132.46592,5.49779,7.04109,3.1266,0.59766,500.0
"c",-0.70711,-0.70711,100.60318,0.91934,68.15424,-0.24943,0.96839,160.07254,4.71239,5.0721,2.73985,2.14222,375.0
"c",-0.85749,-0.5145,87.81799,1.046,62.1289,-0.06438,0.99793,142.41246,4.39064,5.31793,1.79632,0.95313,375.0
"d",-0.19612,0.98058,136.12494,1.20257,124.90396,-0.12009,0.99276,236.74596,5.17604,7.32538,2.81134,3.02222,719.0
"d",0.0,1.0,96.77293,1.16726,76.02631,0.02631,0.99965,195.95718,6.28319,6.72052,3.03087,0.47266,671.0
"d",-0.44721,0.89443,96.56604,1.29819,85.00588,-0.01176,0.99993,174.8692,5.49779,6.67854,4.08954,1.78222,781.0
"d",0.0,1.0,119.85408,1.25696,105.04285,-0.02856,0.99959,233.58221,5.69518,6.09744,2.48846,1.13778,719.0
"d",0.0,1.0,103.81715,1.20639,89.00562,0.01124,0.99994,214.43266,6.28319,6.62201,3.30889,1.13778,672.0
"d",0.44721,0.89443,85.42248,1.09668,45.70558,0.17503,0.98456,197.33246,5.81954,7.48777,3.40274,0.87891,735.0
"d",0.0,1.0,101.59232,1.20857,83.00602,-0.01205,0.99993,199.53311,5.49779,8.75038,4.6886,1.41016,750.0
"d",0.0,1.0,104.6518,1.1157,84.29116,-0.08305,0.99655,211.16383,5.49779,5.87675,2.11362,1.08444,922.0
"d",0.14142,0.98995,76.89603,1.21203,70.25667,-0.0854,0.99635,132.29752,3.60524,10.65515,6.75973,1.14453,672.0
"d",-0.24254,-0.97014,196.77398,1.10715,58.24946,0.97855,0.20601,524.77703,12.00777,13.36254,5.45336,6.19556,984.0
"d",-0.94868,-0.31623,134.71822,1.0673,55.9017,0.73343,0.67976,358.86572,9.88843,11.9385,6.7749,1.95313,782.0
"d",0.44721,0.89443,132.40091,1.19169,98.24968,0.07125,0.99746,247.38387,5.81954,9.27232,4.25599,1.13778,750.0
"d",-0.89443,-0.44721,139.97857,1.10395,48.01042,0.58321,0.81232,376.31997,7.21048,13.49485,6.25641,1.5625,1094.0
"d",0.31623,0.94868,86.53901,1.17956,71.11259,-0.05625,0.99842,179.78649,4.39064,9.56057,5.79087,0.66016,703.0
"d",0.0,1.0,87.23531,1.13278,70.25667,-0.0854,0.99635,170.42291,5.96143,8.46699,4.41452,1.13778,719.0
"d",0.0,1.0,108.30051,1.06998,85.98837,-0.15118,0.98851,245.9959,5.49779,10.23128,5.95922,1.75781,656.0
"d",0.0,1.0,95.50916,1.26229,85.05292,-0.03527,0.99938,178.25505,5.49779,6.42508,3.67218,1.89063,640.0
"d",0.0,1.0,105.11898,1.12842,80.50466,-0.11179,0.99373,210.47296,5.90268,8.36393,3.79672,1.30222,672.0
"d",0.0,1.0,88.76936,1.17774,74.06079,-0.04051,0.99918,176.84286,5.49779,7.72771,4.20699,1.5625,640.0
"d",0.0,1.0,90.24965,1.19646,76.02631,-0.02631,0.99965,214.39104,5.49779,7.57748,4.0552,1.28444,672.0
"e",1.0,0.0,85.47514,1.07052,52.3259,0.70711,0.70711,181.25302,6.42508,6.66308,3.09052,0.64444,500.0
"e",1.0,0.0,61.61169,0.94677,36.40055,0.79669,0.60439,156.91615,5.49779,11.98885,6.11826,0.46222,875.0
"e",1.0,0.0,116.51609,0.88265,54.6443,0.56731,0.82351,247.04463,7.06858,8.79915,4.09802,1.21778,719.0
"e",0.0,1.0,122.61321,0.91261,71.19691,0.49159,0.87082,255.03151,7.39033,8.22411,3.66467,1.22266,578.0
"e",0.97014,0.24254,93.40771,0.91445,67.62396,0.62108,0.78375,206.06836,6.52816,7.17951,2.76268,0.76563,672.0
"e",1.0,0.0,110.45361,1.01796,68.26419,0.84964,0.52736,257.08276,6.28319,6.91884,3.27414,1.07111,609.0
"e",0.85749,0.5145,147.41099,0.93951,92.7847,0.50655,0.86221,315.01193,6.94423,6.95018,3.0753,2.6,593.0
"e",1.0,0.0,87.69265,0.76927,51.88449,0.88658,0.46257,157.26423,7.31356,8.88436,4.75496,0.96889,719.0
"e",1.0,0.0,112.80071,0.92375,72.42237,0.81467,0.57993,265.85156,6.60494,6.85365,2.69429,1.84889,594.0
